id	title	description	link	image_link	additional_image_link	availability	condition	price	brand	identifier_exists	mpn	product_type	shipping_weight	shipping	return_policy_label
mini-cryptex	Mini Cryptex	Mini 3-Letter Cryptex Puzzle Box – Word Lock Drawer This is a mini version of the famous Cryptex puzzle inspired by The Da Vinci Code. Rotate the three letter dials to build different words — only the correct word unlocks the hidden drawer. Designed as a medium-difficulty puzzle, it’s engaging for adults while also doubling as a hands-on learning tool for early readers. Children can experiment with swapping letters, forming simple words, and seeing cause-and-effect as the drawer opens. The letters on each dial have been carefully chosen to allow many valid three-letter words. A clue, note, or small map can be hidden inside the drawer to motivate solvers to find the correct combination. With 125 possible combinations, even adults will need time to crack it. Perfect for: Puzzle and brain-teaser enthusiasts Escape rooms and treasure hunts Montessori-style spelling and word play Unique desk toys and gifts Assembly options Fully assembled and ready to use DIY kit with all birch plywood parts precision laser-cut and ready to assemble Parts are designed to press-fit together; a small amount of glue may be used for extra strength. Letter sets on each dial Dial 1: B P T M H Dial 2: A E I O U Dial 3: G T N D P Made from birch plywood and designed for durability and repeated use. Follow me on Instagram for new designs and puzzles: @contraptioncart	https://www.contraptioncart.com/shop/mini-cryptex	https://i.etsystatic.com/25031074/r/il/4d4af1/7431628092/il_fullxfull.7431628092_pq2y.jpg	https://i.etsystatic.com/25031074/r/il/401962/7479523003/il_fullxfull.7479523003_nnoi.jpg,https://i.etsystatic.com/25031074/r/il/a2e37b/7479523087/il_fullxfull.7479523087_l2b8.jpg,https://i.etsystatic.com/25031074/r/il/4be09d/7431604986/il_fullxfull.7431604986_bziy.jpg,https://i.etsystatic.com/25031074/r/il/5253df/7431605002/il_fullxfull.7431605002_mubi.jpg,https://i.etsystatic.com/25031074/r/il/c56715/7431604994/il_fullxfull.7431604994_jkz0.jpg,https://i.etsystatic.com/25031074/r/il/45212d/7431605022/il_fullxfull.7431605022_c8r8.jpg,https://i.etsystatic.com/25031074/r/il/e0df70/7479523077/il_fullxfull.7479523077_i7lf.jpg,https://i.etsystatic.com/25031074/r/il/4e7651/7479523045/il_fullxfull.7479523045_eauu.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Mini-Cryptex	puzzle boxes	0.25 kg		default
mouse-maze-puzzle-box	Mouse Maze Puzzle Box	This is the physical product. See my other listings for the digital plans. In order to open the box you must navigate the mouse to the center of the maze. This is done with a rotating disc and a sliding rod. Made from laser cut Birch plywood it comes fully assembled and glued or as a kit with all of the parts and assembly instructions. Please select your preference at checkout.	https://www.contraptioncart.com/shop/mouse-maze-puzzle-box	https://i.etsystatic.com/25031074/r/il/85639c/4250092607/il_fullxfull.4250092607_ktow.jpg	https://i.etsystatic.com/25031074/r/il/b4ba6b/4202437124/il_fullxfull.4202437124_7s5x.jpg,https://i.etsystatic.com/25031074/r/il/8df77e/4250092605/il_fullxfull.4250092605_6ytl.jpg,https://i.etsystatic.com/25031074/r/il/5efee0/4250092615/il_fullxfull.4250092615_4s91.jpg,https://i.etsystatic.com/25031074/r/il/8f5f60/4193962034/il_fullxfull.4193962034_bnun.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Mouse-Maze	puzzle boxes	0.25 kg		default
newcombs-paradox	Newcomb's Paradox	This gimmick allows you to perform a working version of the famous Newcomb’s Paradox where you the magician are able to perfectly predict the spectator’s decision before they even make it for themselves. Newcomb’s Paradox is a philosophical thought experiment that raises questions about causality, determinism and free will. There are two boxes. Box A is open and clearly contains $1. Box B is shut and has already been set by a perfect predictor. If the predictor has predicted that the spectator will choose only box B, then box B contains $2. If the predictor has predicted that the spectator will greedily choose both boxes, then box B contains nothing. This thought experiment is famous because philosophers still cannot agree on which is the correct strategy in this simple game. Should the spectator choose one box or two? The trick may be repeated any number of times, and sure enough the magician, or their smart phone ai, is always able to predict the spectators choice, and remove the $2 coin any time before a greedy two box choice is made. This gimmick takes the story even further. The magician is able to make the coins disappear completely and finally reveal a surprise item such as a $100 bank note to magically appear from within the box. Why is it a Paradox? This scenario is considered a paradox because two reputable decision making principles point to different strategies. Expected utility says that we should always choose box B because we will get $2 rather than $1. Strategic dominance says the boxes are already set before you make a decision, so why not pick both and always receive the extra $1 from box A. Entanglement I sought a way to implement a working version of Newcomb's Paradox in the hope that it might provide some insight into the cause of the paradox. After working through this task, my current view is that the paradox arises when we fail to treat our thoughts and decisions as part of the same physics that govern everything else. Our choices do not live in some separate realm but are influenced and influence the world in which they are embedded. When we acknowledge this, we see the possibility that our choice could be entangled with the boxes and the predictor. There are ways in which I could have allowed the boxes to influence both the choice and the predictors prediction, such as lighting box A on fire, but to make this function as a magic trick I really needed the causality to work the other way around, such that a spectators choice could influence the contents of the boxes. That is precisely what this device does. A decision to remove the contents of box A, mechanically causes box B to automatically become empty. This device is essentially a No Greedy Box. It appears that the all knowing predicting magician causes box B to be empty or full, but in fact it is the spectator, and the magician is not required at all. According to the formulation of the paradox, it is only the behavior of a perfect predictor that we really ever observe. The predictor need not even exist, as long as a two box choice always leads to box B appearing empty and one box choice always leads to it appearappearing full. I achieve this entanglement with a simple mechanism hidden within the box, but one can conceive of a more complex interaction such as an advanced technology that could scan our brain and vaporize the contents of box B when it detects a two box decision. Once one sees how the two boxes are mechanically entangled, it becomes intuitive that choosing both boxes is equivalent to choosing just box A. Hence it becomes clear that box B with the higher value is the correct choice. My hope is that this mechanism demonstrates how our decisions are themselves a physical process. They do not live in some separate isolated realm and hence in theory there is nothing to stop them interacting with the environment in highly correlated ways. Perhaps you will think that this is breaking the rules of the game, and that box B must really be set before the choice is made. In which case, below are two alternative methods of entanglement, though harder for me to implement in a working device. Common Cause My favourite solution is probably the existence of a common cause. The initial conditions that caused the predictor to have a particular prediction, also caused the chooser to make a particular choice. This will not be recognisable when the common cause is small or complex but easy to intuit if it had some large scale manifestation such as Box A is on fire. The predictor can clearly see that the chooser will not choose to open a burning box. Once again box B is the rational choice in this situation. The Perfect Predictor is You If the predictor indeed had all of the information and computational apparatus required to predict your decision, it would be performing an exact copy of your own decision making procedure. It would essentially be you. The prediction and choice are the same event. So the scenario now becomes a choice bet…	https://www.contraptioncart.com/shop/newcombs-paradox	https://i.etsystatic.com/25031074/r/il/a4bbac/7239250353/il_fullxfull.7239250353_iu74.jpg	https://i.etsystatic.com/25031074/r/il/a615ed/7239251049/il_fullxfull.7239251049_4lm8.jpg,https://i.etsystatic.com/25031074/r/il/6a9067/7239251143/il_fullxfull.7239251143_1np5.jpg,https://i.etsystatic.com/25031074/r/il/e0d95b/7239251057/il_fullxfull.7239251057_e3on.jpg,https://i.etsystatic.com/25031074/r/il/fcee08/7191275868/il_fullxfull.7191275868_28bw.jpg,https://i.etsystatic.com/25031074/r/il/c956f9/7191275854/il_fullxfull.7191275854_g6ap.jpg,https://i.etsystatic.com/25031074/r/il/848035/7239251621/il_fullxfull.7239251621_awno.jpg	in_stock	new	60.00 AUD	Contraption Cart	no	Newcombs-Paradox	magic tricks	0.25 kg		default
slide-picture-puzzle-box	Slide Picture Puzzle Box	Solve the picture to open the box. (This is a physical kit. Please see my other listings for the digital plans) We have all toiled over these slide picture puzzles as kids, only to find ourselves stuck with one little piece impossible to get into the correct position without undoing all of our hard work. As an adult I feel I have finally put this conundrum to rest and have discovered the secret method. I then set about designing a secret box that can only be opened by solving one of these engaging little slide picture puzzles. Here is the result. The secret method is etched on the wall panels. The image to unscramble is Leonardo Davinci's famous Vitruvian Man.	https://www.contraptioncart.com/shop/slide-picture-puzzle-box	https://i.etsystatic.com/25031074/r/il/ccf267/4561367052/il_fullxfull.4561367052_lf6h.jpg	https://i.etsystatic.com/25031074/r/il/0e0f58/4561399410/il_fullxfull.4561399410_esz3.jpg,https://i.etsystatic.com/25031074/r/il/c217fb/4561399596/il_fullxfull.4561399596_1lqt.jpg,https://i.etsystatic.com/25031074/r/il/4b7ae5/4608757719/il_fullxfull.4608757719_434b.jpg,https://i.etsystatic.com/25031074/r/il/d684d7/4561399476/il_fullxfull.4561399476_prmd.jpg,https://i.etsystatic.com/25031074/r/il/a7828b/4608788363/il_fullxfull.4608788363_i7hq.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Slide-Picture-Puzzle-Box	puzzle boxes	0.25 kg		default
street-sweeper	Street Sweeper	A wooden toddler puppy car that actually sweeps up the floor as they go. I have had heaps of fun watching my little two year old learn to use him. I sprinkle some rice or marbles on the floor and she loves watching it disappear and reappear inside Pug Chugs tummy when she lifts the lid to peer inside. Caster wheels at the back allow for steering and rotating brushes at the front to sweep things into the catchment box. Pug Chug is available fully assembled, or in kit form for those who enjoy a craft project. Assembly takes around one hour with the detailed visual instructions provided.	https://www.contraptioncart.com/shop/street-sweeper	https://i.etsystatic.com/25031074/r/il/78abf8/4998764623/il_fullxfull.4998764623_mqoe.jpg	https://i.etsystatic.com/25031074/r/il/874a80/4998765485/il_fullxfull.4998765485_q4pp.jpg,https://i.etsystatic.com/25031074/r/il/00bea8/4998766013/il_fullxfull.4998766013_4xf3.jpg,https://i.etsystatic.com/25031074/r/il/270592/4998789915/il_fullxfull.4998789915_5rez.jpg,https://i.etsystatic.com/25031074/r/il/83a9bb/4998766471/il_fullxfull.4998766471_oe6g.jpg,https://i.etsystatic.com/25031074/r/il/f79021/4998790283/il_fullxfull.4998790283_8vzp.jpg,https://i.etsystatic.com/25031074/r/il/ffbf15/4998790527/il_fullxfull.4998790527_1rin.jpg	in_stock	new	140.00 AUD	Contraption Cart	no	Pug-Chug	toys and games	0.25 kg		default
surfer-whirligig	Surfer Whirligig	This is the physical UNPAINTED kit. Please see my other listings for the digital plans. Put this little surfer out in the garden to watch him surf in the wind. Includes all of the parts and instructions to assemble the model. Birch plywood, stainless steel and brass. Other wind whirligigs are available in my store. You will need to glue, prime and paint with exterior paint to protect it from the weather.	https://www.contraptioncart.com/shop/surfer-whirligig	https://i.etsystatic.com/25031074/r/il/ff60a4/4199153987/il_fullxfull.4199153987_28b6.jpg	https://i.etsystatic.com/25031074/r/il/f8b695/4199154055/il_fullxfull.4199154055_sr3a.jpg,https://i.etsystatic.com/25031074/r/il/e407ad/4151501628/il_fullxfull.4151501628_m184.jpg,https://i.etsystatic.com/25031074/r/il/805301/4151501564/il_fullxfull.4151501564_t36e.jpg,https://i.etsystatic.com/25031074/r/il/958e8a/4159410012/il_fullxfull.4159410012_o0xn.jpg	in_stock	new	75.00 AUD	Contraption Cart	no	Surfer-Whirligig	whirligigs	0.25 kg		default
swinging-monkey	Swinging Monkey	This is the physical kit. See my other listings for the Digital plans. This kit contains all the part to build a mechanical swinging monkey automaton. Crank the handle to watch him swing through the trees. Build the kinetic model yourself using the precision laser cut birch plywood gears and linkages. Attach to a wall or door using hanger tape or screws.	https://www.contraptioncart.com/shop/swinging-monkey	https://i.etsystatic.com/25031074/r/il/5d0025/5850380013/il_fullxfull.5850380013_pu5w.jpg	https://i.etsystatic.com/25031074/r/il/dffcd8/5849201859/il_fullxfull.5849201859_q0c6.jpg,https://i.etsystatic.com/25031074/r/il/a72b58/5801123970/il_fullxfull.5801123970_kdn3.jpg,https://i.etsystatic.com/25031074/r/il/52da51/5849197589/il_fullxfull.5849197589_gk3f.jpg,https://i.etsystatic.com/25031074/r/il/74ad37/5850325771/il_fullxfull.5850325771_kd80.jpg,https://i.etsystatic.com/25031074/r/il/c65b49/5849203955/il_fullxfull.5849203955_cgex.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Swinging-Monkey	automata	0.25 kg		default
sword-through-finger	Sword Through Finger	Magically push a wooden sword right through your finger with this secret contraption. It comes either fully assembled, or as a kit with instructions so that you can build it yourself. This gimmick is a fun craft project for kids and adults and an entertaining addition to your magician's performance. See all of my Magic tricks at https://contraptioncart.etsy.com?section_id=55798303 To keep up to date with my upcoming designs, please follow me on instagram @contraptioncart	https://www.contraptioncart.com/shop/sword-through-finger	https://i.etsystatic.com/25031074/r/il/6131c9/7304342262/il_fullxfull.7304342262_3pqw.jpg	https://i.etsystatic.com/25031074/r/il/d70d0d/7304342300/il_fullxfull.7304342300_h37t.jpg,https://i.etsystatic.com/25031074/r/il/20486a/7352295687/il_fullxfull.7352295687_f2yh.jpg,https://i.etsystatic.com/25031074/r/il/080294/7304342350/il_fullxfull.7304342350_ii9w.jpg,https://i.etsystatic.com/25031074/r/il/f273fe/7304342352/il_fullxfull.7304342352_740i.jpg,https://i.etsystatic.com/25031074/r/il/131445/7352295749/il_fullxfull.7352295749_1s3b.jpg,https://i.etsystatic.com/25031074/r/il/d4aa6d/7314637021/il_fullxfull.7314637021_rtz3.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Sword-Through-Finger	magic tricks	0.25 kg		default
tiny-drive	Tiny Drive	Build your own mini driving arcade game. It is powered by a beautiful gold wind up music box and constructed from push together plywood parts. Wind up the machine, then steer your car through the obstacles. Collect the two themes. Country Lane and City Traffic. You can even get creative and draw your own roads on a sheet of paper to wrap onto the barrel. This can be a novel desk top office toy, kids game and educational craft project for children or adults. The reccomend age is 8 and above. Allow around one hour for building the model.	https://www.contraptioncart.com/shop/tiny-drive	https://i.etsystatic.com/25031074/r/il/0551df/6652167125/il_fullxfull.6652167125_7sp9.jpg	https://i.etsystatic.com/25031074/r/il/e92e2e/6604068228/il_fullxfull.6604068228_24gw.jpg,https://i.etsystatic.com/25031074/r/il/1f0e11/6652168517/il_fullxfull.6652168517_8yyk.jpg,https://i.etsystatic.com/25031074/r/il/04fab4/6652168949/il_fullxfull.6652168949_1f32.jpg,https://i.etsystatic.com/25031074/r/il/153892/6652169521/il_fullxfull.6652169521_n1j9.jpg,https://i.etsystatic.com/25031074/r/il/5b549c/6604070668/il_fullxfull.6604070668_30v1.jpg,https://i.etsystatic.com/25031074/r/il/299bc6/6604071382/il_fullxfull.6604071382_iej0.jpg,https://i.etsystatic.com/25031074/r/il/b8cd88/6652145341/il_fullxfull.6652145341_pdo8.jpg,https://i.etsystatic.com/25031074/r/il/b53e7e/6663975797/il_fullxfull.6663975797_j9sa.jpg	in_stock	new	80.00 AUD	Contraption Cart	no	Tiny-Drive	toys and games	0.25 kg		default
tortoise-tally	Tortoise Tally	Build your own mechanical counting pet Tortoise. Wind the handle to make him walk. His legs wiggle and his head looks side to side. With every cycle around his enclosure he will increment the counting mechanism up or down by one number. His base is also a keep sake drawer so you can use the counting feature to keep track of how many items (sweats) you have in your collection. Or you could use him to keep track of your score in a game. The kit comes with all of the parts ready to be glued together. Some parts have color printed graphics, others you can paint yourself. This kit joins up like a puzzle piece to the other animals in the Gear Box Pets collection allowing them all to move in synchrony.	https://www.contraptioncart.com/shop/tortoise-tally	https://i.etsystatic.com/25031074/r/il/0afdd3/3230052300/il_fullxfull.3230052300_ewkv.jpg	https://i.etsystatic.com/25031074/r/il/7893ed/3230033922/il_fullxfull.3230033922_qqtx.jpg,https://i.etsystatic.com/25031074/r/il/a0083e/3230034656/il_fullxfull.3230034656_onr9.jpg,https://i.etsystatic.com/25031074/r/il/af24f0/3277724805/il_fullxfull.3277724805_1voe.jpg,https://i.etsystatic.com/25031074/r/il/d282ec/3230036548/il_fullxfull.3230036548_a5vz.jpg,https://i.etsystatic.com/25031074/r/il/0b58bc/3230039020/il_fullxfull.3230039020_fdy2.jpg,https://i.etsystatic.com/25031074/r/il/d9d886/3277733973/il_fullxfull.3277733973_phtq.jpg	in_stock	new	55.00 AUD	Contraption Cart	no	Tortoise-Gearbox-Pet	automata	0.25 kg		default
whale-pulley-pet	Whale Pulley Pet	Build your own mechanical swimming whale with this kit. Pull the string to make it wiggle its flippers and tail as it swims upwards. Collect the whole set of animals to hang in your window.	https://www.contraptioncart.com/shop/whale-pulley-pet	https://i.etsystatic.com/25031074/r/il/d73939/2578454161/il_fullxfull.2578454161_t55f.jpg	https://i.etsystatic.com/25031074/r/il/074aca/2578454567/il_fullxfull.2578454567_d083.jpg,https://i.etsystatic.com/25031074/r/il/696de0/2578455005/il_fullxfull.2578455005_kq5r.jpg,https://i.etsystatic.com/25031074/r/il/8be0b4/2530799714/il_fullxfull.2530799714_peaq.jpg,https://i.etsystatic.com/25031074/r/il/7171c3/2530800862/il_fullxfull.2530800862_aj7o.jpg	in_stock	new	32.00 AUD	Contraption Cart	no	Whale-Pulley-Pet	automata	0.25 kg		default
whirligig-hardware	Whirligig Hardware	This contains the metal hardware required for the whirligigs on my site. The stainless steel and brass parts are all bent, cut and ready to use. You can choose to source these parts and materials yourself, but may prefer to save yourself the search. The parts will make one whirligig. Please choose the type you want at checkout.	https://www.contraptioncart.com/shop/whirligig-hardware	https://i.etsystatic.com/25031074/r/il/2d3dc8/5025710985/il_fullxfull.5025710985_st50.jpg		in_stock	new	40.00 AUD	Contraption Cart	no	Whirligig-Hardware	whirligigs	0.25 kg		default
woodchopper-whirligig	Woodchopper Whirligig	This is a Physical Kit. Please see my other listings for the Digital plans. Put this little Woodchopper out in the garden and watch him chop vigorously when the wind blows. This kit includes all of the parts and instructions required to make the model. Parts are made from birch plywood, stainless steel and brass parts. Other wind whirligigs are available in my store. You will need Glue and exterior primer and paint if you want to protect it from the weather.	https://www.contraptioncart.com/shop/woodchopper-whirligig	https://i.etsystatic.com/25031074/r/il/5f3d80/4182614388/il_fullxfull.4182614388_pzqy.jpg	https://i.etsystatic.com/25031074/r/il/bc7792/4182614394/il_fullxfull.4182614394_fcpq.jpg,https://i.etsystatic.com/25031074/r/il/0be624/4230272119/il_fullxfull.4230272119_99ns.jpg,https://i.etsystatic.com/25031074/r/il/b08489/4218904899/il_fullxfull.4218904899_tua4.jpg,https://i.etsystatic.com/25031074/r/il/7c85f0/4218916375/il_fullxfull.4218916375_kai3.jpg	in_stock	new	75.00 AUD	Contraption Cart	no	Woodchopper-Whirligig	whirligigs	0.25 kg		default
zig-zag-pencil	Zig Zag Pencil	This wooden secret box allows you to perform a magic trick. The magician slides the pencil into the box, then effortlessly slides out the middle of the box, breaking the pencil into 3 pieces. The broken pieces can be removed for inspection then returned to the box. The middle is then pushed back into place and the pencil slid out restored magicaly back into one. All of the parts and instructions are included for you to build the box yourself. This is a great little DIY construction project that you can perform an illusion with afterwards. This is the physical kit. Please see my other listings for the digital plans.	https://www.contraptioncart.com/shop/zig-zag-pencil	https://i.etsystatic.com/25031074/r/il/5c16f8/8213336579/il_fullxfull.8213336579_a7e0.jpg	https://i.etsystatic.com/25031074/r/il/8053a8/8165404936/il_fullxfull.8165404936_379w.jpg,https://i.etsystatic.com/25031074/r/il/0810f1/8213336569/il_fullxfull.8213336569_nask.jpg,https://i.etsystatic.com/25031074/r/il/5eab09/8213336571/il_fullxfull.8213336571_8m4s.jpg,https://i.etsystatic.com/25031074/r/il/801db7/8165404946/il_fullxfull.8165404946_p14d.jpg	in_stock	new	45.00 AUD	Contraption Cart	no	Magic-Pencil-Box	magic tricks	0.25 kg		default
